par_id	par_vertex	comm_mode	spar_5	spar_6	spar_7	spar_8	power_label
366	8918	14	192	192	192	14	14
367	8929	74	74	74	74	74	9
368	8998	74	74	74	74	74	9
369	9498	14	14	14	14	14	24
370	9610	24	24	24	24	24	24
371	10045	24	24	24	24	24	24
372	10056	14	25	25	14	14	25
373	10064	14	24	24	24	24	14
374	10066	14	25	25	14	14	25
375	10077	14	25	25	14	14	25
376	10082	14	25	25	14	14	10
377	10102	6	312	312	312	6	6
378	10109	14	192	192	192	14	7
379	10122	14	14	14	14	14	14
380	10132	14	14	14	14	14	14
381	10139	16	16	16	16	16	24
382	10152	6	26	6	6	6	26
383	10160	3	26	6	6	6	7
384	10181	20	133	133	133	133	20
385	10189	20	133	133	133	133	12
386	10401	14	24	24	24	24	14
387	10522	16	16	16	16	16	16
388	10599	14	14	14	14	14	14
389	10679	14	14	14	14	14	14
390	10775	14	14	14	14	14	14
391	11016	14	14	14	14	14	14
392	11295	14	14	14	14	14	14
393	11754	4	4	4	4	4	4
394	11761	4	4	4	4	4	15
395	11773	5	15	15	15	15	15
396	11776	5	15	15	15	15	15
397	11784	5	5	5	5	5	5
398	11792	5	5	5	5	5	5
399	11798	127	127	127	127	127	5
400	11804	78	164	164	164	164	3
401	11818	101	101	101	78	78	3
402	11825	101	101	101	78	78	5
403	11836	101	101	101	78	78	5
404	12320	127	127	127	127	127	5
405	12438	4	4	4	4	4	15
406	12709	14	208	208	208	208	22
407	12785	14	337	208	208	208	3
408	12907	78	78	78	78	78	3
409	13134	34	0	0	0	0	3
410	13399	5	5	5	5	5	5
411	13410	78	164	164	164	164	5
412	13417	164	164	164	164	164	3
413	13421	6	249	249	249	249	3
414	13431	3	249	249	249	249	3
415	13463	15	15	15	15	15	5
416	13550	6	312	312	312	6	26
417	13597	5	15	15	15	15	26
418	13633	6	164	164	164	249	6
419	13780	6	164	164	164	164	15
420	13843	5	15	15	15	15	6
421	14146	5	15	15	15	15	6
422	14282	4	4	4	4	4	15
423	14531	4	4	4	4	4	15
424	14753	72	0	0	0	0	4
